startup_name,startup_name_clean,industry,sector,city,investors,stage,stage_clean,amount_usd,date,year,quarter,month,funding_era,source,city_clean
BYJU’S,byjus,E-Tech,Technology,Bengaluru,Tiger Global Management,Private Equity Round,PE/Debt,200000000.0,2020-01-09 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Bengaluru
Shuttl,shuttl,Transportation,Mobility,Gurgaon,Susquehanna Growth Equity,Series C,Series C,8048394.0,2020-01-13 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Gurgaon
Mamaearth,mamaearth,E-commerce,E-commerce,Bengaluru,Sequoia Capital India,Series B,Series B,18358860.0,2020-01-09 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Bengaluru
https://www.wealthbucket.in/,wealthbucket,FinTech,Fintech,New Delhi,Vinod Khatumal,Pre-series A,Pre-Series A,3000000.0,2020-01-02 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Delhi
Fashor,fashor,Fashion and Apparel,E-commerce,Mumbai,Sprout Venture Partners,Seed Round,Seed,1800000.0,2020-01-02 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Mumbai
Pando,pando,Logistics,Logistics,Chennai,Chiratae Ventures,Series A,Series A,9000000.0,2020-01-13 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Chennai
Zomato,zomato,Hospitality,Healthtech,Gurgaon,Ant Financial,Private Equity Round,PE/Debt,150000000.0,2020-01-10 00:00:00,2020,1.0,1.0,2020-2021 ZIRP Mania,dataset_1,Gurgaon
Ecozen,ecozen,Technology,Technology,Pune,Sathguru Catalyzer Advisors,Series A,Series A,6000000.0,2019-12-12 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Pune
CarDekho,cardekho,E-Commerce,E-commerce,Gurgaon,Ping An Global Voyager Fund,Series D,Late Stage,70000000.0,2019-12-06 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Gurgaon
Dhruva Space,dhruva space,Aerospace,Other,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,Seed,50000000.0,2019-12-03 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Rivigo,rivigo,Technology,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,Late Stage,20000000.0,2019-12-13 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Gurgaon
Healthians,healthians,B2B-focused foodtech startup,Foodtech,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,Series C,12000000.0,2019-12-17 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Licious,licious,E-Commerce,E-commerce,Bengaluru,Vertex Growth Fund,Series E,Late Stage,30000000.0,2019-12-16 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
InCred,incred,Finance,Other,Mumbai,,Debt Funding,PE/Debt,5900000.0,2019-12-16 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Mumbai
Trell,trell,Video,Media/Content,Bengaluru,Ruizheng Investment,Seed Round,Seed,2000000.0,2019-12-14 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Bengaluru
Rein Games,rein games,Gaming,Media/Content,Noida,Manipal Education and Medical Group (MEMG),Seed Round,Seed,50000000.0,2019-12-11 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Noida
Lenskart.com,lenskartcom,E-Commerce,E-commerce,Faridabad,SoftBank Vision Fund,Series G,Late Stage,231000000.0,2019-12-20 00:00:00,2019,4.0,12.0,2017-2019 Rationalization,dataset_1,Faridabad
Freshworks,freshworks,Software,SaaS/B2B,San Francisco,"Sequoia, CapitalG, Accel",Series H,Late Stage,150000000.0,2019-11-13 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,San Francisco
Misters,misters,Health and wellness,Healthtech,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,Series B,486000.0,2019-11-14 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Sunstone Eduversity Pvt. Ltd,sunstone eduversity,Education,Edtech,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,Seed,1500000.0,2019-11-13 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Burger Singh,burger singh,Food and Beverage,Foodtech,Gurgaon,RB Investments,Venture,Series A,,2019-11-17 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Healthians,healthians,Health and Wellness,Healthtech,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,Series B,12000000.0,2019-11-18 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
Ninjacart,ninjacart,B2B Marketing,SaaS/B2B,Bengaluru,Trifecta Capital Advisors,Debt Funding,PE/Debt,26000000.0,2019-11-15 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Bengaluru
Aye Finance,aye finance,FinTech,Fintech,Gurgaon,FinTech,Debt Funding,PE/Debt,17411265.0,2019-11-20 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Gurgaon
SuperGaming,supergaming,Video Games,Media/Content,Pune,Dream Incubator,Seed Funding,Seed,1300000.0,2019-11-12 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Pune
Clumio,clumio,SaaS,SaaS/B2B,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,Series C,135000000.0,2019-11-20 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,"San Jose,"
eBikeGo,ebikego,Last Mile Transportation,Mobility,Amritsar,Startup Buddy,Seed,Seed,300000.0,2019-11-11 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Amritsar
Digital Mall Asia,digital mall asia,E-Commerce,E-commerce,Delhi,Amour Infrastructure,Seed Funding,Seed,220000000.0,2019-11-19 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Delhi
Medikabazaar,medikabazaar,Healthcare,Healthtech,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,Series B,15800000.0,2019-11-18 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Mumbai
Vogo Automotive,vogo automotive,Last Mile Transportation,Mobility,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,Series B,283000000.0,2019-11-15 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Kormangala
Furtados School of Music,furtados school of music,Education,Edtech,Tulangan,IAN Fund and DSG Consumer Partners,,,200000000.0,2019-11-19 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Tulangan
Paytm,paytm,FinTech,Fintech,Noida,Vijay Shekhar Sharma,Funding Round,Series A,1000000000.0,2019-11-25 00:00:00,2019,4.0,11.0,2017-2019 Rationalization,dataset_1,Noida
Dunzo,dunzo,Customer Service,Other,Bengaluru,Lightbox,Series D,Late Stage,45000000.0,2019-10-04 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Bengaluru
Udaan,udaan,B2B,SaaS/B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,Late Stage,585000000.0,2019-10-02 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Bengaluru
The Man Company,the man company,Consumer Goods,Other,Gurgaon,Ayushmann Khurana,Corporate Round,PE/Debt,,2019-10-21 00:00:00,2019,4.0,10.0,2017-2019 Rationalization,dataset_1,Gurgaon
FPL Technologies,fpl technologies,FinTech,Fintech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,Seed,4500000.0,2019-09-05 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Pune
Cashflo,cashflo,FinTech,Fintech,Mumbai,SAIF Partners,Series A,Series A,3300000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Mumbai
Digital F5,digital f5,"Advertising, Marketing",Other,Mumbai,TIW Private Equity,Private Equity Round,PE/Debt,6000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Mumbai
3rdFlix,3rdflix,SaaS,SaaS/B2B,Hyderabad,Exfinity Venture Partners,pre-series A,Pre-Series A,5000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Hyderabad
75F,75f,IoT,Other,Burnsville,Breakthrough Energy Ventures,Series A,Series A,18000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Burnsville
Myelin Foundry,myelin foundry,Information Technology,Technology,Bengaluru,Endiya Partners,Seed,Seed,1000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Bengaluru
Atomberg Technology,atomberg technology,Consumer Technology,Consumer Tech,Mumbai,A91 Partners,Series A,Series A,10000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Mumbai
GOQii,goqii,Health and Wellness,Healthtech,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,Series C,450000000.0,2019-09-04 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Menlo Park
Vyapar App,vyapar app,Accounting,Other,Bengaluru,"India Quotient, Axilor Ventures",Series A,Series A,5000000.0,2019-09-03 00:00:00,2019,3.0,9.0,2017-2019 Rationalization,dataset_1,Bengaluru
CarDekho,cardekho,E-Commerce,E-commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,Series C,20000000.0,2019-08-01 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Gurgaon
Progcap,progcap,Finance,Other,New Delhi,Sequoia India,Series A,Series A,5000000.0,2019-08-01 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Delhi
MyPetrolPump,mypetrolpump,Retail,E-commerce,Bengaluru,,Seed Funding Round,Seed,1600000.0,2019-08-01 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Bengaluru
Alteria Capital,alteria capital,Finance,Other,Mumbai,"Azim Premji, Binny Bansal",Single Venture,Series A,140000000.0,2019-08-01 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Mumbai
Pine Labs,pine labs,Information Technology,Technology,Noida,Pine Labs Pte Ltd,Corporate Round,PE/Debt,38080000.0,2019-08-01 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Noida
Meesho,meesho,E-Commerce,E-commerce,Bengaluru,Naspers,Series D,Late Stage,125000000.0,2019-08-12 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Bengaluru
Cars24,cars24,E-Commerce,E-commerce,Gurugram,MS Dhoni,Series D,Late Stage,11000000.0,2019-08-13 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Gurgaon
Uniphore,uniphore,Customer Service Platform,Technology,Palo Alto,March Capital Partners,Series C,Series C,51000000.0,2019-08-13 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Palo Alto
Zendrive,zendrive,Automotive,Mobility,San Francisco,XL Innovate,Series B,Series B,37000000.0,2019-08-23 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,San Francisco
Lo! Foods,lo foods,Consumer Goods,Other,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,Seed,500000.0,2019-08-23 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Bengaluru
Tala,tala,FinTech,Fintech,Santa Monica,RPS Ventures,Series D,Late Stage,110000000.0,2019-08-23 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Santa Monica
INDwealth,indwealth,FinTech,Fintech,Gurgaon,Tiger Global Management,Venture Round,Series A,15000000.0,2019-08-22 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Gurgaon
HungerBox,hungerbox,Food and Beverage,Foodtech,Bengaluru,One97 Communications Ltd.,Series C,Series C,6590000.0,2019-08-21 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Bengaluru
AdmitKard,admitkard,EdTech,Edtech,Noida,Growth DNA,Seed Round,Seed,1000000.0,2019-08-23 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Noida
Mishry Reviews,mishry reviews,Services,Other,Gurgaon,Vir Sanghvi,Series A,Series A,,2019-08-19 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Gurgaon
Grofers,grofers,E-Commerce,E-commerce,Gurgaon,Softbank Vision Fund,Series F,Late Stage,70000000.0,2019-08-19 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Gurgaon
Rapido Bike Taxi,rapido bike taxi,Transportation,Mobility,Bengaluru,Westbridge Capital,Series B,Series B,3900000000.0,2019-08-27 00:00:00,2019,3.0,8.0,2017-2019 Rationalization,dataset_1,Bengaluru
RenewBuy,renewbuy,Finance,Other,Gurgaon,"Lok Capital, IIFL Wealth",Series B,Series B,19000000.0,2019-07-02 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Gurgaon
Atlan,atlan,Information Technology,Technology,Singapore,WaterBridge Ventures,Pre-Series A,Pre-Series A,2500000.0,2019-07-02 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Singapore
WizCounsel,wizcounsel,Compliance,Other,New Delhi,Kapil Dev,Angel,Seed,145000.0,2019-07-01 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Delhi
Ola Cabs,ola cabs,Transport,Mobility,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,Late Stage,1000000.0,2019-07-03 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Kormangala
Uniphore,uniphore,Artificial Intelligence,Other,Taramani,March Capital Partners,Series C,Series C,38080000.0,2019-07-01 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Taramani
Daalchini Technologies,daalchini technologies,Food and Beverage,Foodtech,New Delhi,Artha Venture,Seed Round,Seed,500000.0,2019-07-04 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Delhi
"""BYJU\\'S""",byjus,EdTech,Edtech,Bengaluru,Qatar Investment Authority,Private Equity Round,PE/Debt,150000000.0,2019-07-10 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Bengaluru
Moglix,moglix,E-Commerce,E-commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,Late Stage,60000000.0,2019-07-11 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Singapore
Ezyhaul,ezyhaul,Tech,Technology,Singapore,Undisclosed,Series B,Series B,16000000.0,2019-07-10 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Singapore
Indus OS,indus os,Tech,Technology,Andheri,Ventureast,Series B,Series B,5750000.0,2019-07-10 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Andheri
HealthAssure,healthassure,Health Care,Healthtech,Mumbai,Blume Ventures,Series A,Series A,2500000.0,2019-07-10 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Mumbai
House of Msasaba,house of msasaba,Luxury Label,Other,Mumbai,Binny Bansal,Series A,Series A,1000000.0,2019-07-09 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Mumbai
Board Infinity,board infinity,EdTech,Edtech,Chembur,Multiple Angel Investors,Angel Round,Seed,319605.0,2019-07-08 00:00:00,2019,3.0,7.0,2017-2019 Rationalization,dataset_1,Chembur
NoBroker,nobroker,E-Commerce,E-commerce,Bengaluru,General Atlantic,Series C,Series C,51000000.0,2019-06-05 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Bengaluru
Bira91,bira91,Food and Beverage,Foodtech,New Delhi,Anicut Capital,Debt Funding,PE/Debt,10000000.0,2019-06-04 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Delhi
FabHotels,fabhotels,E-Commerce,E-commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,,4889975.54,2019-06-03 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Gurgaon
Avail Finance,avail finance,Finance,Other,Bengaluru,Matrix Partners,Series A,Series A,9000000.0,2019-06-03 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Bengaluru
BharatPe,bharatpe,Finance,Other,New Delhi,Insight Partners,Series B,Series B,75000000.0,2019-06-04 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Delhi
Recykal,recykal,Waste Management Service,Other,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,Pre-Series A,26000000.0,2019-06-04 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Hyderabad
Agara Labs,agara labs,Deep-Tech,Technology,Bengaluru,Blume Ventures and RTP Global,pre-Series A,Pre-Series A,2500000.0,2019-06-03 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Bengaluru
Sistema.bio,sistemabio,Agriculture,Agritech,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,,2739034.68,2019-06-06 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Nairobi
Chakr Innovation,chakr innovation,Energy,Other,New Delhi,IAN Fund,Series A,Series A,26000000.0,2019-06-06 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Delhi
Pratilipi,pratilipi,Digital Media,Media/Content,Bengaluru,Qiming Venture Partners,Series B,Series B,15109500.0,2019-06-06 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Bengaluru
Bolo App,bolo app,Digital Media,Media/Content,Bengaluru,Nexus Venture Partners,Seed Funding,Seed,430200.0,2019-06-10 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Bengaluru
OkCredit,okcredit,FinTech,Fintech,Haryana,Tiger Global Management,Series A,Series A,15500000.0,2019-06-10 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Haryana
Biz2Credit,biz2credit,FinTech,Fintech,New York,WestBridge Capital,Series B,Series B,52000000.0,2019-06-06 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,New York
Vogo Automotive Pvt. Ltd.,vogo automotive,Transportation,Mobility,Karnataka,Alteria Capital,Debt Funding,PE/Debt,3584000.0,2019-06-08 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Karnataka
Leegality,leegality,Services,Other,Mumbai/Bengaluru,Mumbai Angels,Series A,Series A,3400000.0,2019-06-04 00:00:00,2019,2.0,6.0,2017-2019 Rationalization,dataset_1,Mumbai/Bengaluru
Ola Electric,ola electric,Transport,Mobility,Bengaluru,Tata Sons,Series A,Series A,,2019-05-06 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Bengaluru
Saahas Zero Waste,saahas zero waste,Waste Management Service,Other,Bengaluru,C4D Partners,Venture - Series Unknown,Series A,868600.0,2019-05-06 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Bengaluru
StyleDotMe,styledotme,E-commerce,E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,Pre-Series A,,2019-05-05 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Delhi
BlackBuck,blackbuck,Transport,Mobility,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,Late Stage,150000000.0,2019-05-01 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Bengaluru
Zenoti,zenoti,Saas,SaaS/B2B,Hyderabad,Tiger Global Management,Series C,Series C,50000000.0,2019-05-02 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Hyderabad
Ather Energy,ather energy,Automobile,Mobility,Bengaluru,Sachin Bansal,Series C,Series C,51000000.0,2019-05-28 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Bengaluru
FreshVnF,freshvnf,Agtech,Technology,Mumbai,Equanimity Ventures,Seed Round,Seed,140000000.0,2019-05-28 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Mumbai
GlowRoad,glowroad,E-commerce,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,Series B,11500000.0,2019-05-30 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Bengaluru
Bira91,bira91,Food and Beverage,Foodtech,New Delhi,Sixth Sense Ventures,Series B,Series B,5600000.0,2019-05-31 00:00:00,2019,2.0,5.0,2017-2019 Rationalization,dataset_1,Delhi
Kuvera,kuvera,Finance,Other,Bengaluru,Eight Roads,Series A,Series A,45000000.0,2019-04-16 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
Medlife,medlife,E-commerce,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,PE/Debt,17000000.0,2019-04-12 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
Kabadiwala,kabadiwala,E-commerce,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,PE/Debt,430665.0,2019-04-10 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bhopal
Tripoto,tripoto,Social Media,Media/Content,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,Series B,3591375.0,2019-04-13 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Delhi
Azah,azah,Health and Wellness,Healthtech,Gurugram,Unnamed angel investors,Seed Funding,Seed,200000.0,2019-04-12 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Gurgaon
Setu,setu,Fintech,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,Seed,3500000.0,2019-04-11 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
Toppr,toppr,Edtech,Edtech,Mumbai,Milestone,Debt and Preference capital,PE/Debt,6320820.0,2019-04-10 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Mumbai
Craftsvilla,craftsvilla,E-commerce,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,Other,2443495.0,2019-04-10 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Mumbai
Unacademy,unacademy,Edtech,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,Seed,307000.0,2019-04-10 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
CleverTap,clevertap,SaaS,SaaS/B2B,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,Series B,26000000.0,2019-04-11 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Mumbai
My Healthcare,my healthcare,E-commerce,E-commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,Series A,3000000.0,2019-04-19 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru and Gurugram
KrazyBee,krazybee,E-commerce,E-commerce,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,PE/Debt,,2019-04-19 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
Shuttl,shuttl,Transportation,Mobility,Gurugram,New Atlantic Ventures,Venture Round,Series A,5000000.0,2019-04-17 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Gurgaon
Increff,increff,Technology,Technology,Bengaluru,"021 Capita, Binny Bansal",Series A,Series A,3000000.0,2019-04-17 00:00:00,2019,2.0,4.0,2017-2019 Rationalization,dataset_1,Bengaluru
FleetX,fleetx,AI,Other,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Pre-Series A,,2019-02-01 00:00:00,2019,1.0,2.0,2017-2019 Rationalization,dataset_1,Gurgaon
Zilingo,zilingo,Ecommerce,E-commerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,Late Stage,226000000.0,2019-02-08 00:00:00,2019,1.0,2.0,2017-2019 Rationalization,dataset_1,India/Singapore
NanoClean Global,nanoclean global,Nanotechnology,Technology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,Series A,600000.0,2019-02-13 00:00:00,2019,1.0,2.0,2017-2019 Rationalization,dataset_1,Delhi
OyoRooms,oyorooms,Hospitality,Healthtech,Gurgaon,DiDi Chuxing,Equity,Series A,100000000.0,2018-02-14 00:00:00,2018,1.0,2.0,2017-2019 Rationalization,dataset_1,Gurgaon
CarDekho,cardekho,Automobile,Mobility,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,Series C,110000000.0,2019-01-03 00:00:00,2019,1.0,1.0,2017-2019 Rationalization,dataset_1,Jaipur
Vyome Therapeutics Inc.,vyome therapeutics,Health and Wellness,Healthtech,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,Late Stage,22000000.0,2019-01-04 00:00:00,2019,1.0,1.0,2017-2019 Rationalization,dataset_1,India/US
Samunnati Financial Intermediation & Services Pvt. Ltd,samunnati financial intermediation services,Finance,Other,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,PE/Debt,5000000.0,2019-01-04 00:00:00,2019,1.0,1.0,2017-2019 Rationalization,dataset_1,Chennai
Manch,manch,Social Media,Media/Content,Delhi,Stellaris Venture Partners,Seed Funding,Seed,700000.0,2018-12-04 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Delhi
UrbanClap Technologies Pvt. Ltd,urbanclap technologies,Services Platform,Technology,New Delhi,Steadview Capital and Vy Capital.,Series D,Late Stage,50000000.0,2018-12-01 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Delhi
Guiddoo,guiddoo,Travel Tech,Technology,Mumbai,Individual Investors,Pre-Series A,Pre-Series A,800000.0,2018-12-02 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Mumbai
Career Anna,career anna,Online Education,Edtech,Gurugram,Individual Investors,Pre-Series A,Pre-Series A,572000.0,2018-12-02 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Gurgaon
Nagpur Wholesale,nagpur wholesale,Online Marketplace,E-commerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,Seed,143000.0,2018-12-04 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Nagpur
ShopKirana,shopkirana,B2B,SaaS/B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,Seed,2000000.0,2018-12-06 00:00:00,2018,4.0,12.0,2017-2019 Rationalization,dataset_1,Indore
